scan_date,retailer,country,brand,product_name,sku_observed,size,ean,current_price,currency,in_stock
2025-02-12,Douglas,DE,XERJOFF,Xerjoff Blend GrooveXcape 50ml Parfum TESTER,XER74,50 ml,8054320901471,62.13,EUR,N
2025-02-10,Kruidvat,NL,RojaParfums,Roja Parfums Isola Blu Parfum 50ml,ROJ87,50ML,5056663800049,340.03,EUR,Y
2025-02-11,Notino,FR,RojaParfums,Roja Parfums Isola Blu Parfum 50ml,ROJ19,1.7 oz,5056663800049,315.16,EUR,Y
2025-02-12,Galeries Lafayette,FR,Roja Parfums,Roja Parfums Isola Blu Parfum 50ml,ROJ24,50.0ml,5056663800049,267.06,EUR,Y
2025-02-11,FragranceX,US,roja parfums,Roja Parfums Isola Blu Parfum 50ml,ROJ32,1.7 oz,5056663800049,311.42,USD,Y
2025-02-11,Douglas,NL,Nishane,Nishane Hundred Silent Ways X (Tester) 100ml,NIS47,100ML,697506140538,39.22,EUR,Y
2025-02-10,Selfridges,UK,Tigi,Tigi Bed Head Queen For A Day Spray 289g,TIG30,30ml,615908431193,8.62,GBP,Y
2025-02-10,Etos,NL,Tigi,Tigi Bed Head Queen For A Day Spray 289g,TIG61,50ml,615908431193,10.07,EUR,Y
2025-02-12,The Perfume Shop,UK,Stephane Humbert Lucas,Stephane Humbert Lucas Panthea Iris EDP 50ml,STE22,50.0ml,3760232240199,124.29,GBP,Y
2025-02-11,Kruidvat,NL,creed,Creed Eladaria EDP 75ml Tester,CRE53,2.5 oz,3508440004178,131.97,EUR,Y
2025-02-12,Harrods,UK,Isntree Paris,HYALURONIC ACID AIRY SUN STICK_22g,ISN46,50ml,8809686384228,16.73,GBP,Y
2025-02-11,De Bijenkorf,NL,Burberry,BBY HER 7TH EDP NS 100ml INTENSE IV,BUR76,100.0ml,3616305181060,86.65,EUR,Y
2025-02-12,ICI Paris XL,BE,Shiseido,SNP DAY CREAM 50ML SPF 15,SHI77,50.0ml,768614191100,80.43,EUR,Y
2025-02-10,De Bijenkorf,NL,Shiseido,SNP DAY CREAM 50ML SPF 15,SHI47,1.7 oz,768614191100,64.91,EUR,Y
2025-02-11,Galeries Lafayette,FR,Shiseido Paris,SNP DAY CREAM 50ML SPF 15,SHI59,50ml,768614191100,71.88,EUR,Y
2025-02-10,Notino,FR,shiseido,SNP DAY CREAM 50ML SPF 15,SHI50,50.0ml,768614191100,71.73,EUR,Y
2025-02-11,Douglas,NL,Actyva,Act. Nutrizione R. Mask REV25-200ml,ACT25,6.8 oz,8020936097976,107.51,EUR,N
2025-02-11,The Perfume Shop,UK,actyva,Act. Nutrizione R. Mask REV25-200ml,ACT89,6.8 oz,8020936097976,107.83,GBP,Y
2025-02-10,ICI Paris XL,BE,Actyva Paris,Act. Nutrizione R. Mask REV25-200ml,ACT66,6.8 oz,8020936097976,132.0,EUR,Y
2025-02-11,Galeries Lafayette,FR,Dr.Jart+,10 MASK MEGA MIX,DR.46,100ml,1210001217393,99.92,EUR,Y
2025-02-12,Harrods,UK,DR.JART+,10 MASK MEGA MIX,DR.32,100ml,1210001217393,124.25,GBP,Y
2025-02-12,Selfridges,UK,DR.JART+,10 MASK MEGA MIX,DR.64,100ml,1210001217393,127.98,GBP,Y
2025-02-10,Douglas,DE,Dr.Jart+,10 MASK MEGA MIX,DR.94,50ml,1210001217393,110.6,EUR,Y
2025-02-12,Douglas,DE,Sospiro,TENORE - EDP 100ml,SOS88,3.4 oz,3770009763783,133.43,EUR,Y
2025-02-11,FragranceX,US,sospiro perfumes,TENORE - EDP 100ml,SOS64,100ML,3770009763783,135.52,USD,Y
2025-02-10,Douglas,NL,Sospiro Perfumes Paris,TENORE - EDP 100ml,SOS34,100.0ml,3770009763783,145.69,EUR,Y
2025-02-12,FragranceX,US,Amouage,Amouage Rose Aqor Attars 12ml,AMO78,12ml,701666173205,317.19,USD,Y
2025-02-12,ICI Paris XL,BE,Amouage,Amouage Rose Aqor Attars 12ml,AMO10,12 ml,701666173205,350.63,EUR,N
2025-02-11,Notino,NL,Amouage,Amouage Rose Aqor Attars 12ml,AMO71,12ML,701666173205,380.17,EUR,Y
2025-02-10,Douglas,NL,Amouage,Amouage Rose Aqor Attars 12ml,AMO84,12.0ml,701666173205,256.12,EUR,Y
2025-02-12,Kruidvat,NL,laneige,NEO FOUNDATION_MATTE 17C1 30ML,LAN54,30ML,8809685771142,35.84,EUR,N
2025-02-12,ICI Paris XL,BE,Masque Milano,Masque Milano Russian Tea EDP 100ml (Tester),MAS44,3.4 oz,8055118039352,176.26,EUR,Y
2025-02-11,Douglas,NL,Skin1004 Paris,SKIN1004 Madagascar Centella Toning Toner 210ml,SKI70,210ml,8809913830825,9.16,EUR,Y
2025-02-10,Notino,FR,Skin1004,SKIN1004 Madagascar Centella Toning Toner 210ml,SKI90,210ml,8809913830825,7.1,EUR,N
2025-02-11,The Perfume Shop,UK,skin1004,SKIN1004 Madagascar Centella Toning Toner 210ml,SKI85,210.0ml,8809913830825,8.92,GBP,Y
2025-02-11,Kruidvat,NL,Skin1004,SKIN1004 Madagascar Centella Toning Toner 210ml,SKI41,210ml,8809913830825,10.24,EUR,Y
2025-02-10,Notino,NL,paul mitchell,PAUL MITCHELL MVRCK High Hold Pomade 85g,PAU28,50ml,009531133485,19.73,EUR,Y
2025-02-11,Kruidvat,NL,PaulMitchell,PAUL MITCHELL MVRCK High Hold Pomade 85g,PAU22,30ml,009531133485,14.37,EUR,Y
2025-02-12,The Perfume Shop,UK,Paul,PAUL MITCHELL MVRCK High Hold Pomade 85g,PAU55,50ml,009531133485,15.15,GBP,Y
